H,1311.3
He,2361.3
Li,519.9
Be,898.8
B,800.2
C,1085.7
N,1401.5
O,1313.1
F,1680
Ne,2079.4
Na,495.6
Mg,737.3
Al,577.2
Si,786
P,1011.2
S,999
Cl,1254.9
Ar,1519.6
K,418.5
Ca,589.4
Sc,630.8
Ti,657.8
V,650.1
Cr,652.4
Mn,716.8
Fe,759.1
Co,758.1
Ni,736.2
Cu,745
Zn,905.8
Ga,578.7
Ge,760
As,946.2
Se,940.4
Br,1142
Kr,1350
Rb,402.8
Sr,549
Y,615.4
Zr,659.7
Nb,663.6
Mo,684.8
Tc,702.2
Ru,710.3
Rh,719.5
Pd,803.5
Ag,730.5
Cd,867.2
In,558
Sn,708.2
Sb,833.3
Te,869
I,1008.3
Xe,1170
Cs,375.5
Ba,502.5
La,541.1
Ce,540.1
Pr,526.6
Nd,531.5
Pm,536
Sm,540.1
Eu,546.9
Gd,594.2
Tb,569
Dy,567
Ho,574
Er,581
Tm,589
Yb,603
Lu,513
Hf,575.2
Ta,760.1
W,769.7
Re,759.1
Os,819.8
Ir,868.1
Pt,868.1
Au,889.3
Hg,1006
Tl,588.9
Pb,715.2
Bi,702.9
Po,813.1
At,916.3
Rn,1036.5
Fr,375
Ra,509
Ac,665.5
Th,670.4
U,686.4
Pu,491.9
Cm,580
Bk,600
Cf,610
Es,620
Fm,630
Md,635
No,640
